Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
742,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
743,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
745,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
747,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
748,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
806,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
852,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
853,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
856,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
881,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,negative,6,(middle-middle-square-o > 0) & (bottom-left-square-x <= 0) & (top-right-square-x > 0) & (middle-left-square-x > 0) & (bottom-right-square-o > 0) & (top-left-square-x <= 0)
