Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
80,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
82,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
83,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
84,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
102,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
103,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
104,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
116,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
117,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
118,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
159,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
160,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
162,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
197,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
198,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
200,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
201,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
224,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
225,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
226,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
248,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
249,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
250,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
252,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
254,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
278,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
279,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
281,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
282,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
283,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,positive,5,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x > 0) & (middle-left-square-x > 0)
