Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
661,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
663,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
664,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
671,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
672,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
673,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
679,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
685,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
706,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
708,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
709,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
716,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
717,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o > 0) & (bottom-middle-square-o > 0)
