Order,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-left-square-x,top-left-square-o,top-left-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,Rule_Length,Rule
926,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
723,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
786,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
695,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
906,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
631,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
653,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
643,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
873,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
630,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
802,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
657,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
668,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
732,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
778,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
870,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
637,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
781,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
823,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
896,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
646,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
779,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
