Order,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-left-square-x,top-left-square-o,top-left-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,Rule_Length,Rule
769,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
865,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
862,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
748,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
746,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
807,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
855,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
920,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
915,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
743,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
755,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
804,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
770,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
747,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
867,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
851,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5)
