Order,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,top-left-square-x,top-left-square-o,top-left-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,Rule_Length,Rule,Class
482,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
588,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
949,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
448,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
593,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
382,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
203,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
216,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
810,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
435,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
860,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
408,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
392,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
878,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
863,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
550,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
877,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
213,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,4,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5),negative
