Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
10,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
15,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
16,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
19,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
35,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
40,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
41,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
47,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
48,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
51,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,positive,5,(middle-middle-square-o <= 0) & (top-right-square-o <= 0) & (bottom-left-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o <= 0)
