Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
812,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
813,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
814,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
816,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
817,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
818,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
819,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
820,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
825,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
826,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
827,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
828,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
829,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
830,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
831,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
832,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
833,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
834,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
835,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
837,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
838,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
839,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
840,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
841,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
842,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
843,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
844,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
845,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
846,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
847,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,negative,5,(middle-middle-square-o <= 0) & (top-right-square-o > 0) & (bottom-right-square-o <= 0) & (top-left-square-o > 0) & (top-middle-square-o > 0)
