Row Number,Matched Rules
2,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
3,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
7,['(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.0) && (early_uptake_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2']
8,"['(early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (block_of_affere <= 1.5)  => 2', '(early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 2.5) && (block_of_affere <= 1.5)  => 2', '(no_of_nodes_in > 1.5) && (changes_in_stru > 5.5) && (early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 2.5) && (block_of_affere <= 1.5)  => 2']"
9,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
10,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
11,['(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 2']
14,"['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2', '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']"
15,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
16,['(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 2']
18,"['(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 4', '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (early_uptake_in > 1.5) && (changes_in_lym <= 2.5) && (block_of_affere > 1.5)  => 4']"
19,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
20,"['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2', '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']"
21,"['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2', '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']"
22,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
23,['(early_uptake_in > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2']
24,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
27,['(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5)  => 2']
29,['(no_of_nodes_in <= 3.0) && (early_uptake_in <= 1.5) && (block_of_affere <= 1.5)  => 3']
32,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
33,['(no_of_nodes_in <= 3.0) && (early_uptake_in <= 1.5) && (block_of_affere <= 1.5)  => 3']
36,['(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.0) && (early_uptake_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2']
37,['(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.0) && (early_uptake_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2']
38,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
39,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
40,['(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5)  => 2']
