Row Number,Matched Rules,0,1,2
2,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
3,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
7,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.0) && (early_uptake_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.0) && (early_uptake_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,
8,"({'Rule': '(early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in > 1.5) && (changes_in_stru > 5.5) && (early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6})","{'Rule': '(early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_stru > 5.5) && (early_uptake_in > 1.5) && (changes_in_lym > 2.5) && (special_forms > 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}"
9,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
10,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
11,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
14,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",
15,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
16,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
18,"({'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (early_uptake_in > 1.5) && (changes_in_lym <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (early_uptake_in > 1.5) && (changes_in_lym <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 5}",
19,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
20,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",
21,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",
