Order,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
123,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
129,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
131,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
132,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
135,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
136,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
142,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
144,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
188,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
196,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o <= 0.5)
