Order,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
628,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
640,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
641,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
650,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
651,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
659,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
719,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
729,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
892,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
893,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
901,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
904,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
935,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,6,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o > 0.5)
