Order,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
20,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
21,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
110,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
232,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
305,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
306,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
355,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
437,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
489,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
490,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,10,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-x <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5)
