Rule,Class,Length
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru <= 1.5),3,4
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no <= 1.5) & (changes_in_stru <= 5.5),4,6
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no <= 1.5) & (changes_in_stru > 5.5),2,6
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (exclusion_of_no > 1.5),2,5
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (exclusion_of_no <= 1.5) & (defect_in_node <= 1.5),3,5
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (exclusion_of_no <= 1.5) & (defect_in_node > 1.5),2,5
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (exclusion_of_no > 1.5),4,4
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node <= 1.5),1,3
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru <= 3.5),4,6
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node <= 2.5) & (changes_in_stru <= 4.5),2,8
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node <= 2.5) & (changes_in_stru > 4.5),4,8
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 1.5) & (defect_in_node <= 3.5),2,9
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 1.5) & (defect_in_node > 3.5) & (changes_in_stru <= 6.5),2,10
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 1.5) & (defect_in_node > 3.5) & (changes_in_stru > 6.5),4,10
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 1.5) & (defect_in_node <= 3.5) & (changes_in_stru <= 4.5) & (defect_in_node <= 2.5),4,11
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 1.5) & (defect_in_node <= 3.5) & (changes_in_stru <= 4.5) & (defect_in_node > 2.5),2,11
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 1.5) & (defect_in_node <= 3.5) & (changes_in_stru > 4.5),4,10
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 3.5) & (changes_in_stru > 3.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 1.5) & (defect_in_node > 3.5),2,9
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 3.5),4,5
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in <= 3.5),4,6
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 5.5) & (changes_in_node <= 3.0) & (changes_in_stru <= 4.5),4,9
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 5.5) & (changes_in_node <= 3.0) & (changes_in_stru > 4.5),1,9
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 5.5) & (changes_in_node > 3.0),4,8
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 5.5) & (changes_in_stru <= 7.0),2,8
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in <= 4.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 5.5) & (changes_in_stru > 7.0),4,8
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (no_of_nodes_in > 4.5),4,5
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node <= 1.5),4,4
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 1.5),2,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 2.5) & (no_of_nodes_in > 1.5) & (changes_in_stru <= 6.0),2,8
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node <= 2.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 6.0),4,8
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in <= 2.5) & (changes_in_node > 2.5),2,6
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5),2,6
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (special_forms > 2.5) & (changes_in_stru <= 4.0),2,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (no_of_nodes_in > 2.5) & (special_forms > 2.5) & (changes_in_stru > 4.0),4,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in <= 1.5),2,4
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),4,4
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (defect_in_node <= 3.0),4,5
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (defect_in_node > 3.0),1,5
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5),2,4
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms <= 1.5),1,4
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms <= 2.5) & (changes_in_node <= 2.5),2,6
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms <= 2.5) & (changes_in_node > 2.5),4,6
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),4,5
