Row Number,Matched Rules,0,1,2
2,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
3,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
4,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
8,"({'Rule': '(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,
9,"({'Rule': '(changes_in_stru > 5.5) && (early_uptake_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4},)","{'Rule': '(changes_in_stru > 5.5) && (early_uptake_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,
10,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
11,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
14,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",
15,"({'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
16,"({'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,
