Row Number,Matched Rules
2,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
3,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
4,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
8,['(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2']
9,['(changes_in_stru > 5.5) && (early_uptake_in > 1.5) && (special_forms > 1.5) && (block_of_affere <= 1.5)  => 2']
10,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
11,['(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
14,"['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2', '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5)  => 2']"
15,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
16,['(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
18,"['(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5)  => 4', '(changes_in_stru > 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms <= 2.5) && (block_of_affere > 1.5)  => 4']"
19,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
20,"['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2', '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5)  => 2']"
21,"['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2', '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5)  => 2']"
22,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
23,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
24,"['(early_uptake_in > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5)  => 2', '(changes_in_stru <= 5.5) && (early_uptake_in > 1.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5)  => 2']"
25,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
28,['(changes_in_node <= 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
30,['(early_uptake_in <= 1.5) && (no_of_nodes_in <= 3.0) && (block_of_affere <= 1.5)  => 3']
33,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
34,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
35,['(early_uptake_in <= 1.5) && (no_of_nodes_in <= 3.0) && (block_of_affere <= 1.5)  => 3']
38,"['(changes_in_stru > 4.0) && (changes_in_node <= 2.5) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2', '(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2']"
39,"['(changes_in_stru > 4.0) && (changes_in_node <= 2.5) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2', '(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2']"
40,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
41,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
42,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
43,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
44,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
45,['(changes_in_stru > 2.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in > 1.5) && (block_of_affere <= 1.5)  => 4']
52,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
53,"['(changes_in_node <= 2.5) && (no_of_nodes_in > 1.5) && (block_of_affere > 1.5)  => 4', '(changes_in_stru <= 4.5) && (changes_in_node <= 2.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 4']"
55,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
56,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
57,"['(changes_in_stru > 4.0) && (changes_in_node <= 2.5) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2', '(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2']"
58,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
59,['(changes_in_stru <= 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2']
62,['(changes_in_stru > 4.0) && (early_uptake_in <= 1.5) && (no_of_nodes_in <= 1.5) && (block_of_affere <= 1.5)  => 2']
63,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
64,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
67,"['(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5)  => 2', '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', '(changes_in_stru <= 4.5) && (changes_in_node <= 3.5) && (no_of_nodes_in > 3.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2']"
70,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
72,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
73,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
74,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
77,"['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2', '(changes_in_node > 2.5) && (no_of_nodes_in > 2.5) && (block_of_affere > 1.5)  => 2']"
78,['(early_uptake_in <= 1.5) && (no_of_nodes_in <= 3.0) && (block_of_affere <= 1.5)  => 3']
80,['(changes_in_node > 2.5) && (no_of_nodes_in <= 3.5) && (block_of_affere > 1.5)  => 2']
81,['(early_uptake_in <= 1.5) && (no_of_nodes_in <= 3.0) && (block_of_affere <= 1.5)  => 3']
