Row Number,Matched Rules,Matched Rules
2,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2']
5,"['block_of_affere <= 1.5 && changes_in_lym > 1.5 && changes_in_node > 2.5 && changes_in_stru > 2.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2', 'block_of_affere <= 1.5 && changes_in_stru > 4.0 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2', 'block_of_affere <= 1.5 && changes_in_lym <= 2.5 && changes_in_node <= 3.5 && changes_in_stru <= 6.5 && no_of_nodes_in <= 1.5 && special_forms <= 2.5  => 2']","['block_of_affere <= 1.5 && changes_in_lym > 1.5 && changes_in_node > 2.5 && changes_in_stru > 2.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2', 'block_of_affere <= 1.5 && changes_in_stru > 4.0 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2', 'block_of_affere <= 1.5 && changes_in_lym <= 2.5 && changes_in_node <= 3.5 && changes_in_stru <= 6.5 && no_of_nodes_in <= 1.5 && special_forms <= 2.5  => 2']"
6,['block_of_affere <= 1.5 && changes_in_lym > 1.5 && changes_in_node <= 3.5 && defect_in_node <= 3.5 && no_of_nodes_in > 3.5 && special_forms > 1.5  => 2'],['block_of_affere <= 1.5 && changes_in_lym > 1.5 && changes_in_node <= 3.5 && defect_in_node <= 3.5 && no_of_nodes_in > 3.5 && special_forms > 1.5  => 2']
7,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2']
8,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2']
11,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2']
12,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2']
13,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2']
15,['block_of_affere > 1.5 && changes_in_node <= 2.5 && changes_in_stru > 4.5 && no_of_nodes_in > 1.5  => 4'],['block_of_affere > 1.5 && changes_in_node <= 2.5 && changes_in_stru > 4.5 && no_of_nodes_in > 1.5  => 4']
16,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2']
17,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2']
18,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2']
19,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2']
