Row Number,Rule,Rule Length
3,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
5,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
6,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
7,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
9,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
11,(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (defect_in_node > 2.5) && (no_of_nodes_in > 2.5)  => 2,5
12,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
15,(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (no_of_nodes_in > 2.5)  => 4,4
16,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
19,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
20,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
33,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
35,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
38,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
39,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
40,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4,2
46,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
50,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
51,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
52,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
53,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
54,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
55,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
56,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
57,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
63,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
68,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
69,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2,4
80,(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2,4
82,(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2,2
84,(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3,3
