Order,Class,Predicted_Class
933,negative,negative
595,positive,positive
310,positive,positive
836,negative,negative
181,positive,positive
769,negative,negative
287,positive,positive
253,positive,positive
645,negative,positive
199,positive,positive
19,positive,positive
482,positive,positive
314,positive,negative
4,positive,positive
328,positive,positive
736,negative,positive
876,negative,positive
588,positive,positive
703,negative,negative
921,negative,positive
180,positive,negative
563,positive,positive
949,negative,negative
479,positive,negative
936,negative,negative
557,positive,positive
224,positive,positive
137,positive,positive
476,positive,positive
322,positive,negative
162,positive,positive
384,positive,negative
261,positive,positive
51,positive,positive
767,negative,negative
926,negative,positive
39,positive,positive
432,positive,positive
465,positive,positive
831,negative,negative
723,negative,positive
511,positive,negative
309,positive,negative
865,negative,negative
42,positive,positive
106,positive,negative
786,negative,positive
677,negative,positive
713,negative,positive
885,negative,positive
80,positive,positive
518,positive,positive
824,negative,negative
436,positive,negative
112,positive,negative
305,positive,negative
303,positive,negative
672,negative,negative
187,positive,positive
152,positive,positive
448,positive,positive
135,positive,positive
89,positive,positive
300,positive,negative
524,positive,positive
269,positive,negative
716,negative,negative
582,positive,positive
290,positive,negative
178,positive,positive
902,negative,negative
695,negative,negative
906,negative,negative
862,negative,negative
593,positive,positive
382,positive,negative
798,negative,positive
552,positive,positive
505,positive,positive
631,negative,positive
389,positive,positive
522,positive,positive
569,positive,positive
203,positive,positive
255,positive,positive
466,positive,positive
748,negative,negative
190,positive,negative
529,positive,negative
82,positive,positive
483,positive,positive
270,positive,positive
433,positive,positive
661,negative,positive
32,positive,positive
512,positive,negative
858,negative,negative
292,positive,positive
711,negative,positive
232,positive,positive
929,negative,positive
184,positive,negative
455,positive,negative
746,negative,positive
216,positive,positive
871,negative,negative
431,positive,positive
69,positive,positive
477,positive,positive
274,positive,positive
400,positive,positive
430,positive,positive
237,positive,positive
336,positive,positive
653,negative,positive
801,negative,positive
734,negative,negative
930,negative,positive
131,positive,positive
944,negative,positive
218,positive,negative
643,negative,positive
236,positive,positive
873,negative,positive
281,positive,positive
564,positive,positive
641,negative,negative
196,positive,positive
333,positive,positive
741,negative,positive
7,positive,positive
628,negative,positive
35,positive,positive
576,positive,positive
750,negative,negative
359,positive,negative
630,negative,positive
44,positive,positive
558,positive,positive
807,negative,positive
214,positive,positive
301,positive,negative
802,negative,positive
605,positive,positive
855,negative,positive
828,negative,positive
11,positive,positive
75,positive,positive
307,positive,negative
810,negative,negative
163,positive,positive
951,negative,positive
304,positive,negative
819,negative,positive
920,negative,positive
657,negative,positive
339,positive,positive
915,negative,positive
458,positive,positive
92,positive,positive
254,positive,positive
668,negative,positive
909,negative,negative
262,positive,positive
130,positive,positive
153,positive,negative
732,negative,negative
600,positive,positive
778,negative,negative
870,negative,positive
435,positive,negative
48,positive,positive
785,negative,positive
72,positive,positive
743,negative,positive
103,positive,negative
449,positive,positive
604,positive,positive
212,positive,negative
637,negative,negative
860,negative,negative
107,positive,negative
361,positive,negative
755,negative,positive
275,positive,positive
373,positive,positive
887,negative,positive
36,positive,positive
252,positive,negative
226,positive,positive
408,positive,positive
194,positive,negative
91,positive,positive
20,positive,positive
380,positive,positive
28,positive,positive
535,positive,positive
601,positive,negative
139,positive,positive
234,positive,negative
85,positive,positive
602,positive,positive
230,positive,negative
890,negative,positive
469,positive,positive
50,positive,positive
796,negative,positive
762,negative,negative
781,negative,positive
709,negative,negative
54,positive,positive
16,positive,positive
622,positive,positive
452,positive,positive
239,positive,positive
1,positive,positive
47,positive,positive
766,negative,negative
3,positive,positive
463,positive,positive
26,positive,positive
804,negative,positive
542,positive,positive
740,negative,positive
525,positive,positive
392,positive,positive
509,positive,positive
365,positive,positive
285,positive,positive
620,positive,positive
878,negative,negative
823,negative,negative
344,positive,positive
770,negative,positive
98,positive,negative
838,negative,negative
680,negative,positive
375,positive,negative
883,negative,negative
896,negative,negative
646,negative,positive
450,positive,positive
434,positive,positive
934,negative,negative
597,positive,positive
674,negative,negative
607,positive,positive
354,positive,positive
730,negative,negative
533,positive,positive
264,positive,positive
345,positive,positive
863,negative,negative
186,positive,positive
550,positive,positive
549,positive,positive
240,positive,positive
371,positive,positive
618,positive,positive
543,positive,positive
689,negative,positive
102,positive,negative
747,negative,positive
612,positive,negative
258,positive,positive
624,positive,positive
917,negative,positive
712,negative,positive
530,positive,positive
947,negative,negative
60,positive,positive
185,positive,negative
250,positive,positive
83,positive,positive
173,positive,positive
561,positive,positive
56,positive,positive
598,positive,positive
822,negative,negative
840,negative,positive
867,negative,positive
27,positive,positive
183,positive,positive
851,negative,positive
708,negative,negative
877,negative,negative
213,positive,positive
779,negative,positive

Dokładność klasyfikacji: 65.97%
