Row Number,Matched Rules,0,1,2
2,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}, {'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4})","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4}",
3,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}, {'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4})","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4}",
4,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
5,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
7,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
8,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
12,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
14,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4}",,
15,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
18,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 4', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 4', 'Rule Length': 5}",,
