Row Number,Matched Rules,0,1,2
3,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
5,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
6,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
7,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}",,
9,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
11,"({'Rule': '(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (defect_in_node > 2.5) && (no_of_nodes_in > 2.5)  => 2', 'Rule Length': 5}, {'Rule': '(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (defect_in_node > 3.5) && (no_of_nodes_in > 2.5)  => 2', 'Rule Length': 5})","{'Rule': '(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (defect_in_node > 2.5) && (no_of_nodes_in > 2.5)  => 2', 'Rule Length': 5}","{'Rule': '(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (defect_in_node > 3.5) && (no_of_nodes_in > 2.5)  => 2', 'Rule Length': 5}",
12,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}, {'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4})","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4}",
15,"({'Rule': '(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (no_of_nodes_in > 2.5)  => 4', 'Rule Length': 4},)","{'Rule': '(special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_lym <= 2.5) && (no_of_nodes_in > 2.5)  => 4', 'Rule Length': 4}",,
16,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}, {'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4})","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4}",
19,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}, {'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4})","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (changes_in_node > 2.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.0) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 4}",
20,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
33,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
