Row Number,Matched Rules,0,1,2
3,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
5,"({'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}",
6,"({'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}",
7,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}",,
9,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
20,"({'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}",
26,"({'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5}",,
33,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
35,"({'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}"
36,"({'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}"
37,"({'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}"
43,"({'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 4', 'Rule Length': 2},)","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 4', 'Rule Length': 2}",,
48,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
52,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}",,
53,"({'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}"
56,"({'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}"
57,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
58,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
59,"({'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2})","{'Rule': '(changes_in_node > 2.5) && (block_of_affere <= 1.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(changes_in_node <= 3.5) && (block_of_affere <= 1.5)  => 2', 'Rule Length': 2}",
66,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
