Row Number,Matched Rules,0,1,2
5,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
6,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
8,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
9,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in > 3.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
10,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}",,
11,"({'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
12,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
20,"({'Rule': '(dislocation_of > 1.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_node <= 2.5)  => 4', 'Rule Length': 4},)","{'Rule': '(dislocation_of > 1.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_node <= 2.5)  => 4', 'Rule Length': 4}",,
26,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
39,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
41,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
42,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
45,"({'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
46,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4', 'Rule Length': 2}",,
52,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
53,"({'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
55,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}, {'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3})","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}","{'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",
56,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}, {'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3})","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}","{'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",
58,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
59,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
60,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
61,"({'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(dislocation_of <= 1.5) && (special_forms > 2.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
67,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 1.5)  => 3', 'Rule Length': 3}",,
72,"({'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4},)","{'Rule': '(special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 4.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 4}",,
