Rule,Class,Length
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (Order <= 86.5) & (Order <= 61.0) & (Order <= 31.5) & (Order <= 15.5),2,7
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (Order <= 86.5) & (Order <= 61.0) & (Order <= 31.5) & (Order > 15.5),4,7
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (Order <= 86.5) & (Order <= 61.0) & (Order > 31.5),2,6
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (Order <= 86.5) & (Order > 61.0) & (changes_in_stru <= 2.0),3,6
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (Order <= 86.5) & (Order > 61.0) & (changes_in_stru > 2.0),4,6
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (Order > 86.5),2,4
(block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in > 3.0),1,3
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5),2,4
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (exclusion_of_no <= 1.5) & (changes_in_node <= 1.5),3,6
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (exclusion_of_no <= 1.5) & (changes_in_node > 1.5),2,6
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (exclusion_of_no > 1.5),4,5
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order <= 8.0) & (no_of_nodes_in <= 5.0),2,5
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order <= 8.0) & (no_of_nodes_in > 5.0),4,5
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order > 8.0) & (Order <= 76.0),4,5
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order > 8.0) & (Order > 76.0) & (Order <= 80.5),2,6
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order > 8.0) & (Order > 76.0) & (Order > 80.5) & (special_forms <= 2.5) & (Order <= 109.5),2,8
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order > 8.0) & (Order > 76.0) & (Order > 80.5) & (special_forms <= 2.5) & (Order > 109.5),4,8
(block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (Order > 8.0) & (Order > 76.0) & (Order > 80.5) & (special_forms > 2.5),4,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node <= 1.5),4,4
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in <= 1.5),2,6
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in > 1.5) & (special_forms <= 2.5),2,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (no_of_nodes_in > 1.5) & (special_forms > 2.5),4,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5),2,6
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5),2,7
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms > 2.5) & (early_uptake_in <= 1.5),2,8
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms > 2.5) & (early_uptake_in > 1.5),4,8
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in <= 1.5),2,4
(block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (no_of_nodes_in > 1.5),4,4
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (Order <= 43.5),4,5
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (Order > 43.5),1,5
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5),2,4
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms <= 1.5),1,4
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms <= 2.5) & (changes_in_node <= 2.5),2,6
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms <= 2.5) & (changes_in_node > 2.5),4,6
(block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5),4,5
