Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
233,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
235,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
236,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
282,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
287,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
292,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
423,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
430,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
431,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
432,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
434,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
438,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
443,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
475,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
477,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
590,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
592,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
596,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
598,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
602,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
621,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,7,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-o <= 0.5)
