Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
5,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
7,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
10,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
15,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
16,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
17,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
19,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
24,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
25,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
26,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,8,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5)
