Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
8,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
11,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
14,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
20,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
46,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
52,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
65,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
71,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
77,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
110,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
112,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
490,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
495,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
517,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
526,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,7,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5)
