Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
9,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
22,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5)
