Order,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
310,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
311,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
312,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
313,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
360,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
361,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
362,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
397,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
398,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
408,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
420,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
448,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
449,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
450,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
484,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,6,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-b > 0.5)
