Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
630,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
631,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
632,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
633,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
634,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
635,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
636,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
637,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
642,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
643,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
646,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
647,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
652,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
653,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
654,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
656,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
657,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5)
