Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
159,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
160,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
161,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
162,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
163,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
186,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
197,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
198,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
199,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
200,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
201,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,7,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
