Order,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,Rule_Length,Rule
51,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
54,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
57,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
62,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
66,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
68,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
72,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
74,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
76,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
113,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5)
