Order,Class,Predicted_Class
933,negative,negative
595,positive,positive
310,positive,positive
836,negative,negative
181,positive,positive
769,negative,negative
287,positive,positive
253,positive,positive
645,negative,negative
199,positive,positive
19,positive,positive
482,positive,negative
314,positive,positive
4,positive,positive
328,positive,positive
736,negative,positive
876,negative,positive
588,positive,positive
703,negative,negative
921,negative,negative
180,positive,positive
563,positive,positive
949,negative,positive
479,positive,negative
936,negative,negative
557,positive,positive
224,positive,positive
137,positive,positive
476,positive,positive
322,positive,positive
162,positive,positive
384,positive,positive
261,positive,positive
51,positive,positive
767,negative,negative
926,negative,negative
39,positive,positive
432,positive,positive
465,positive,positive
831,negative,negative
723,negative,positive
511,positive,positive
309,positive,positive
865,negative,negative
42,positive,positive
106,positive,positive
786,negative,positive
677,negative,negative
713,negative,negative
885,negative,negative
80,positive,negative
518,positive,positive
824,negative,negative
436,positive,positive
112,positive,positive
305,positive,positive
303,positive,positive
672,negative,negative
187,positive,positive
152,positive,positive
448,positive,negative
135,positive,positive
89,positive,positive
300,positive,positive
524,positive,positive
269,positive,positive
716,negative,negative
582,positive,positive
290,positive,positive
178,positive,positive
902,negative,negative
695,negative,positive
906,negative,negative
862,negative,negative
593,positive,negative
382,positive,positive
798,negative,positive
552,positive,positive
505,positive,positive
631,negative,negative
389,positive,positive
522,positive,positive
569,positive,positive
203,positive,positive
255,positive,positive
466,positive,negative
748,negative,negative
190,positive,positive
529,positive,positive
82,positive,negative
483,positive,negative
270,positive,positive
433,positive,positive
661,negative,positive
32,positive,positive
512,positive,positive
858,negative,positive
292,positive,positive
711,negative,negative
232,positive,negative
929,negative,positive
184,positive,positive
455,positive,positive
746,negative,negative
216,positive,positive
871,negative,positive
431,positive,positive
69,positive,positive
477,positive,positive
274,positive,positive
400,positive,positive
430,positive,positive
237,positive,negative
336,positive,negative
653,negative,negative
801,negative,negative
734,negative,negative
930,negative,positive
131,positive,positive
944,negative,negative
218,positive,positive
643,negative,negative
236,positive,positive
873,negative,negative
281,positive,negative
564,positive,positive
641,negative,negative
196,positive,positive
333,positive,positive
741,negative,positive
7,positive,positive
628,negative,negative
35,positive,positive
576,positive,positive
750,negative,positive
359,positive,negative
630,negative,negative
44,positive,positive
558,positive,positive
807,negative,negative
214,positive,positive
301,positive,negative
802,negative,negative
605,positive,positive
855,negative,negative
828,negative,negative
11,positive,positive
75,positive,positive
307,positive,positive
810,negative,positive
163,positive,positive
951,negative,positive
304,positive,negative
819,negative,negative
920,negative,negative
657,negative,negative
339,positive,positive
915,negative,negative
458,positive,positive
92,positive,positive
254,positive,negative
668,negative,negative
909,negative,negative
262,positive,positive
130,positive,positive
153,positive,positive
732,negative,negative
600,positive,positive
778,negative,negative
870,negative,negative
435,positive,negative
48,positive,positive
785,negative,negative
72,positive,positive
743,negative,negative
103,positive,negative
449,positive,positive
604,positive,positive
212,positive,positive
637,negative,positive
860,negative,negative
107,positive,positive
361,positive,positive
755,negative,negative
275,positive,negative
373,positive,positive
887,negative,negative
36,positive,negative
252,positive,positive
226,positive,negative
408,positive,positive
194,positive,positive
91,positive,positive
20,positive,positive
380,positive,positive
28,positive,positive
535,positive,positive
601,positive,positive
139,positive,positive
234,positive,positive
85,positive,positive
602,positive,positive
230,positive,positive
890,negative,positive
469,positive,negative
50,positive,positive
796,negative,negative
762,negative,positive
781,negative,positive
709,negative,positive
54,positive,positive
16,positive,positive
622,positive,positive
452,positive,positive
239,positive,positive
1,positive,positive
47,positive,positive
766,negative,positive
3,positive,negative
463,positive,positive
26,positive,positive
804,negative,negative
542,positive,positive
740,negative,negative
525,positive,positive
392,positive,positive
509,positive,negative
365,positive,positive
285,positive,positive
620,positive,positive
878,negative,negative
823,negative,negative
344,positive,positive
770,negative,negative
98,positive,positive
838,negative,negative
680,negative,negative
375,positive,positive
883,negative,positive
896,negative,negative
646,negative,negative
450,positive,positive
434,positive,positive
934,negative,positive
597,positive,positive
674,negative,negative
607,positive,positive
354,positive,positive
730,negative,negative
533,positive,positive
264,positive,positive
345,positive,positive
863,negative,negative
186,positive,positive
550,positive,positive
549,positive,positive
240,positive,positive
371,positive,positive
618,positive,positive
543,positive,positive
689,negative,negative
102,positive,negative
747,negative,negative
612,positive,positive
258,positive,positive
624,positive,positive
917,negative,negative
712,negative,positive
530,positive,positive
947,negative,negative
60,positive,positive
185,positive,positive
250,positive,negative
83,positive,positive
173,positive,positive
561,positive,positive
56,positive,positive
598,positive,positive
822,negative,negative
840,negative,negative
867,negative,negative
27,positive,positive
183,positive,positive
851,negative,negative
708,negative,positive
877,negative,negative
213,positive,positive
779,negative,negative

Dokładność klasyfikacji: 81.94%
