Row Number,Shortest Rules
1,"[{'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-right-square-x > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'middle-middle-square-o > 0.5 && middle-right-square-x <= 0.5 && top-right-square-x > 0.5 => positive', 'Rule Length': 3}]"
2,"[{'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-middle-square-o <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-o > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'middle-middle-square-o > 0.5 && top-left-square-b <= 0.5 && top-left-square-o <= 0.5 => positive', 'Rule Length': 3}]"
3,"[{'Rule': 'bottom-left-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-right-square-x > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-middle-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
4,"[{'Rule': 'bottom-left-square-o > 0.5 && top-left-square-o <= 0.5 && top-right-square-o <= 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
5,"[{'Rule': 'top-left-square-b <= 0.5 && top-left-square-o <= 0.5 && top-right-square-o <= 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-middle-square-o > 0.5 && top-left-square-o <= 0.5 && top-right-square-o <= 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-middle-square-x <= 0.5 && middle-middle-square-o > 0.5 && middle-right-square-o > 0.5 => positive', 'Rule Length': 3}]"
6,"[{'Rule': 'bottom-right-square-o > 0.5 && top-left-square-o <= 0.5 && top-right-square-o <= 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
7,"[{'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
8,"[{'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
9,"[{'Rule': 'bottom-right-square-x <= 0.5 && middle-middle-square-o > 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
10,"[{'Rule': 'bottom-left-square-x <= 0.5 && bottom-right-square-x <= 0.5 && top-right-square-x > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-left-square-x <= 0.5 && middle-right-square-x <= 0.5 && top-right-square-x > 0.5 => positive', 'Rule Length': 3}, {'Rule': 'bottom-middle-square-x <= 0.5 && bottom-right-square-x <= 0.5 && top-left-square-x > 0.5 => positive', 'Rule Length': 3}]"
