Rule,class,Length
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),negative,3
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),negative,5
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),negative,7
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-left-square-b <= 0.5),positive,9
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-left-square-b > 0.5),negative,9
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o > 0.5) & (bottom-middle-square-b > 0.5),negative,8
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o > 0.5),positive,6
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x <= 0.5),positive,9
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-b <= 0.5),negative,10
(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-b > 0.5),positive,10
