Rule,Class,Length
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru <= 1.5),3,4
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (Order <= 63.0),2,5
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (Order > 63.0) & (Order <= 84.5),4,6
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in <= 1.5) & (changes_in_stru > 1.5) & (Order > 63.0) & (Order > 84.5),2,6
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru <= 4.5) & (Order <= 120.0),2,5
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru <= 4.5) & (Order > 120.0),3,5
(block_of_affere <= 1.5) & (special_forms <= 1.5) & (no_of_nodes_in > 1.5) & (changes_in_stru > 4.5),4,4
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym <= 1.5),1,3
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order <= 49.5),4,5
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node <= 3.5) & (Order <= 118.5) & (Order <= 112.5) & (changes_in_stru <= 3.5),4,9
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node <= 3.5) & (Order <= 118.5) & (Order <= 112.5) & (changes_in_stru > 3.5) & (defect_in_node <= 3.5),2,10
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node <= 3.5) & (Order <= 118.5) & (Order <= 112.5) & (changes_in_stru > 3.5) & (defect_in_node > 3.5) & (changes_in_lym <= 2.5),2,11
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node <= 3.5) & (Order <= 118.5) & (Order <= 112.5) & (changes_in_stru > 3.5) & (defect_in_node > 3.5) & (changes_in_lym > 2.5),4,11
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node <= 3.5) & (Order <= 118.5) & (Order > 112.5),4,8
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node <= 3.5) & (Order > 118.5),2,7
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in <= 2.5) & (Order > 49.5) & (changes_in_node > 3.5),4,6
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (Order <= 13.5) & (changes_in_stru <= 5.0),4,6
(block_of_affere <= 1.5) & (special_forms > 1.5) & (changes_in_lym > 1.5) & (no_of_nodes_in > 2.5) & (Order <= 13.5) & (changes_in_stru > 5.0),2,6
